screen_name,status_text,status_created_at
NPRrussell,The French Ski Team is asking the International Olympic Committee if it's okay to wear helmets with decals.<e2><80><a6> https.co/nDiqJ1UWos,Thu Feb 08 07:44:14 +0000 2018
jab035,Hey mention TheRock can you take this #WinterOlympics quiz? https.co/cgalHF1oe4,Thu Feb 08 07:40:53 +0000 2018
ICUStat,Not far away are the slopes of Alpensia. More practice runs in advance of the prelims. #PyeongChang2018 https.co/7hXkNHm1eN,Thu Feb 08 07:40:43 +0000 2018
ICUStat,What a day so far. The sledding facility here off the charts. https.co/GLIoei4KlG,Thu Feb 08 07:38:14 +0000 2018
swaindiana,Canadian Olympic Committee news conference gets underway. #pyeongchang2018 mention cbcolympics<e2><80><a6> https.co/PINRoUSnVY,Thu Feb 08 07:36:18 +0000 2018
KSLAndrew,Very carefully. https.co/281u2V6iQT,Thu Feb 08 07:36:11 +0000 2018
jagarcia23,Had a good time hanging out with Dan Jansen today In Peyong Chang. #teamusa #PeyongChang2018 #olympics https.co/LNBaEGVqKp,Thu Feb 08 07:32:48 +0000 2018
ReidFiest,The mention TeamCanada official opening news conference starts now. Will try to tweet main points. #Pyeonchang2018 https.co/vuF1SYswm5,Thu Feb 08 07:31:30 +0000 2018
KenHanscom,Already finding challenges heading to Gangneung Olympic Park tonight via bus and KTX for #PyeongChang2018 <e2><80><94> my trai<e2><80><a6> https.co/66AJAX5O76,Thu Feb 08 07:31:23 +0000 2018
brucesbeat,Having flashbacks to the G2O in 2010 <e2><80><94>except I wasn<e2><80><99>t there. Guess Seoul had to use these labels up at some point.<e2><80><a6> https.co/3Km3ETE6,Thu Feb 08 07:29:11 +0000 2018
OlympicsPFGC,Yuki hashimoto of mention FutureEarth describes the importance of international agreements and the cooperation that is nec<e2><80><a6> https.co/2HulodrWQi,Thu Feb 08 07:28:22 +0000 2018
GregMescall,The mention usskiteam snowboard cross squad. Central Jersey in the house on the far left in Meghan Tierney. The minute I m<e2><80><a6> https.co/J1R5ZIpsS8,Thu Feb 08 07:28:01 +0000 2018
ongolivefiaaaa,paid so much to get such lecturer. fml.,Thu Feb 08 07:27:54 +0000 2018
robhatchtv,"Here<e2><80><99>s one for you Cycling lot; just like trying to follow a Madison Seen a few crashes this afternoon, too <e2><80><a6> https.co/B7vEx2c81Q",Thu Feb 08 07:26:45 +0000 2018
