screen_name,status_text,status_created_at
baezzang25,"RT @go_chacha_moon: 우는 김영남 할배..

저 할배가 노동당 짠밥이 

70년이라는디..

감격하셨나봐요..

우리 평화롭게 삽시다!!^&amp; https://t.co/4HZ3OtH9OF",Sat Feb 10 05:22:15 +0000 2018
1668d05562a042f,"RT @dytpqdlxn: CBS...절레절레...

#반국가_반사회_반종교 #광화문광장 #한기총부패 #CBS아웃 #한기총급감 https://t.co/m0yrRcgn7d",Sat Feb 10 13:43:20 +0000 2018
THELASTCSW,RT @syoong_90: OPPA HBD CIE SAMAAN KADO DONG KADOO HEHE @SJ9th86,Sat Feb 10 06:17:32 +0000 2018
GogumaMat_0,"RT @scullyKnows: 통가 태권도선수로 리우에 왔는데 크로스컨트리로 출마하려고 자비로 해외에서 배우고 출전해서 자격을 따고, 크라우드펀딩까지 해서 평창에 왔다고 함. 진짜 이게 올림픽 정신임 https://t.co/kdHDxJbItJ",Sat Feb 10 09:28:48 +0000 2018
itotptkd,"RT @NcdyKtyr: 안빠 ㅁㅈ이란분이 이번 개막식이 돈때려 붓고 매끄럽지 못한 티난다는데, 이번 개막식은 올림픽 개막중 가장 저비용으로 경기장도 올림픽 이후에 철거해서 화제인거 외신도 안봐요?.그리고 요즘 국제행사 트렌드가 비용절감이예요. 아직…",Fri Feb 09 15:50:31 +0000 2018
zAWcTbTerJ2TEhn,"RT @jsaclova: 이재용 석방에 찬성하는 국민 비율이 35%
자유당 20.6 + 바미당 10.9 + 민평당 4.3 = 35%
절대로 변하지 않는 꼴통수구세력의 자양분.",Fri Feb 09 09:31:08 +0000 2018
molly_madd,"RT @Back_To_Baxic: 180209 인천 출국 프리뷰 🌬

#MONSTAX #몬스타엑스  
#주헌 #이주헌
#JOOHEON

@OfficialMonstaX https://t.co/iQUqPbE01S",Fri Feb 09 05:07:02 +0000 2018
Indy_suya,RT @shipjyanten: Ten Kun Jungwoo and Lucas are categorized as ‘new members’.... https://t.co/AVnbcuEIOC,Thu Feb 08 16:03:45 +0000 2018
lzmtml,"RT @yesdungeon: [2/10 홍대던전X테일즈샵 겨울 시즌 미니라이브] (협력 LION STUDIO)
겨울 시즌 미니 라이브가 종료 되었습니다.
오늘 공연 시간동안의 단합력! 에 깜짝 놀랐습니다.(응원법이 따로 있었나요?)
즐거운 시간들 되…",Sat Feb 10 12:10:00 +0000 2018
ura_garam,RT @everblue81: @sorazun 마다가스카르라는 나라가 88년 서울올림픽 당시에는 친북 성향 국가였거든요. 88 올림픽에 불참한 이유가 북한 요청 때문이라고 들었는데 30년만에 그 숙원이 풀어졌네요.,Sat Feb 10 00:09:04 +0000 2018
LenyBeatry,"RT @bts_love_myself: J-Hope sends you love.

Love Myself, and Love Others.

#BTSLoveMyself

제이홉이 보내는 사랑의 메시지.

자신을 사랑하고, 다른 이들을 사랑하세요.

#BT…",Thu Feb 08 12:57:38 +0000 2018
sarah_3colours,"저녁메뉴 후보
1. 진라면 순한맛
     +찐만두(한섬만두존맛)
2. 쫄면사리 넣은 닭갈비
3. 삼겹살 오븐구이
4. 귀찮으니까 페리카나 양념

아 배고프다",Thu Feb 08 11:38:01 +0000 2018
jk0901_jim,RT @spirit_gom: 개회식 이건 오진거 ㅇㅈ한다 https://t.co/ou6FUVO62R,Fri Feb 09 14:12:08 +0000 2018
aprilluvr,"RT @Choux_bie_Death: 부천국제영화제. 이게 어떻게 된 거죠? 피해자를 해고 했네요?
가해자가 그런 적 없다며&lt;혁대를 툭 쳤는데 엉덩이에 걸렸다&gt;고 말 비슷한 걸 변명으로 했네요? 작년에 못 가서 올해는 가려고 했는데 무섭네요. 허리띠…",Fri Feb 09 11:54:47 +0000 2018
TeenTopLove_TAL,그러게요..왜할까요..,Fri Feb 09 13:26:28 +0000 2018
YOmi_coffee,멜론라디오 다시 들으니 우혀니 라디오 디제이했음 좋겠다. 아님 고정게스트... 젭알 ㅜㅜ,Sat Feb 10 01:42:20 +0000 2018
kim_tae_taee,"RT @armybangtaann: UK ARMY!! 🇬🇧🇬🇧

@BTS_twt  ‘Moving On’ was played on BBC Two in the documentary covering the lead up to the Olympic Games…",Fri Feb 09 07:45:54 +0000 2018
FcaLove,@Sucream_kookie @snowgarden90 너무 고생하셨어요^^ 좋은 무대 감사합니다~~~ #개막식 #2018평창,Fri Feb 09 14:06:39 +0000 2018
spring_BTS_LOVE,"RT @ONLY_MOMNET_V: 이분......아미인가.....😦

 #iHeartAwards #BestFanArmy #BTSARMY @BTS_twt https://t.co/Q2s0DSBWRe",Fri Feb 09 09:02:18 +0000 2018
RPL_95Minhyun,@RPL_96Yuleum Wah ketauan dasar dikau,Sat Feb 10 10:10:49 +0000 2018
dudu007015,날이 들어서 아쉽 ㅠㅠ 하지만 수고 많았어요,Sat Feb 10 12:37:54 +0000 2018
ssspsy02,RT @dkb_myung: [트레] 그렇게 하면 쾌척 맛있다 해 https://t.co/Q1LkRBfH6F,Thu Feb 08 13:17:23 +0000 2018
dhdldzlzl2,RT @luvly_junwelry: ป้าย exo ที่สถานีทงแดมุนมีอี้ชิงรวมอยู่จริงด้วย 😢 ป้ายนี้น่าจะมาจาก exobar อัลบั้มนี้คัมแบค 8 คนแต่เค้าก็เอาอี้ชิงมาใส่…,Sat Feb 10 12:39:52 +0000 2018
splende,"RT @leejongha6870: 개막식 진짜 멋지네...

입장권 값이 아깝지않았을듯",Fri Feb 09 14:07:34 +0000 2018
ChanBae27642139,RT @nickygoeswild: แว่นที่รอน้องๆอยู่!!! https://t.co/SkWoiiR5HF,Sat Feb 10 04:07:57 +0000 2018
mochiiiiiiiii95,@jeonsatellite Getwellsoon... -fc,Thu Feb 08 10:56:44 +0000 2018
CreammyARMY,"RT @HITMAN_FANBASE: NEVER forget that JK kissed Hoseok on the neck, never.

JUNGKOOK DAY 

#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt htt…",Thu Feb 08 18:29:21 +0000 2018
B_benz11,RT @MB_destiny9397: พรุ่งนี้แล้วเจ้าจะเข้าพาขวัญญญ อื้อออหื้อออ ทีมเจ้าบ่าวเจ้าสาวพร้อมกันน่าดู แต่ กูทีมคนข้างบ้านไง 5555555 https://t.co/…,Fri Feb 09 14:21:09 +0000 2018
mingtaehwoo,yung sobrang nakakatamad,Thu Feb 08 10:10:04 +0000 2018
ktk7424,"010.④②③⑥.⑨⑨⑧⑤
#강남오피
#역삼오피
#선릉오피
#신논현오피
#압구정오피
#신사동오피
#잠실오피
#청담오피
♥♥때묻지 않은 순수한 애기들 항시대기중♥♥",Thu Feb 08 13:42:09 +0000 2018
gurtmfather,"RT @parkkwangon: 정당발전위원회의 혁신안은, 
문재인정부와 민주당을 지지하는 국민, 
그리고 당원분들과 ‘한 몸’입니다.

혁신안의 정신이 온전히 반영되는 것이, 
당원주권을 받드는 것임을 잘 알고 있습니다.

최재성 위원장님을 비롯한…",Thu Feb 08 15:16:01 +0000 2018
BTS201306_13_,@YOONSTAR_0613 쿄쿄!!?,Fri Feb 09 18:16:42 +0000 2018
strongshooky,"RT @bts_love_myself: We have come this far since November 1 2017.

Learn more at https://t.co/kASSleVXLr

2017년 11월 1일 부터 시작한 캠페인의 성과를 공유합니…",Thu Feb 08 17:03:30 +0000 2018
gjy200054,"RT @somsom_0613: 헐.....
기대도 안했는데...
명견만리 당첨돼써

#iHeartAwards #BestFanArmy #BTSARMY  @BTS_twt https://t.co/WkqjQWLqDa",Fri Feb 09 04:23:56 +0000 2018
qvAczAQ5dMWAbsM,@hacknodap 내맘대로 안되는것 ㅜ,Thu Feb 08 08:58:21 +0000 2018
Choi_mejsi_llek,RT @maple140452: ไม่ใช่ว่ามีคนไปตามหาเชือกที่เตนล์ใส่นะ อีเวนนั้นสายสิญจน์😂 #เตนล์ https://t.co/oerQ9naKs8,Fri Feb 09 05:05:03 +0000 2018
